timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-24 12:45:43,-3.38,0.75,-0.56,-3.56,27.38,138.38,28.50,28.13,215
2024-07-24 12:45:52,1.69,1.13,0.56,-6.38,27.94,141.38,30.38,29.06,216
2024-07-24 12:46:00,1.50,0.75,1.13,-6.94,27.00,141.19,28.50,30.19,217
2024-07-24 12:46:08,3.75,0.75,0.00,22.50,26.63,135.00,27.38,29.63,218
2024-07-24 12:46:16,2.44,1.13,0.75,22.13,30.38,147.56,31.31,30.19,219
2024-07-24 12:46:24,0.56,1.31,-2.81,48.00,28.50,144.38,30.38,28.69,220
2024-07-24 12:46:32,1.50,1.69,0.94,24.56,27.19,145.13,29.81,30.00,221
2024-07-24 12:46:40,-2.06,3.19,1.13,54.94,27.94,154.50,27.75,28.88,222
2024-07-24 12:46:49,-1.50,1.88,-1.13,69.56,27.94,140.63,29.44,29.44,223
2024-07-24 12:46:56,-2.81,3.19,0.38,53.63,27.75,136.50,29.44,28.13,224
2024-07-24 12:47:04,0.94,1.31,0.00,41.81,30.75,129.75,31.50,28.88,225
2024-07-24 12:47:12,-0.75,1.50,2.63,24.94,31.69,135.75,28.88,30.38,226
2024-07-24 12:47:20,2.81,-0.94,-1.13,7.31,28.31,131.06,27.56,28.69,227
2024-07-24 12:47:28,-2.63,0.56,3.75,12.56,29.06,124.31,29.81,30.00,228
2024-07-24 12:47:36,-0.94,-0.38,-0.56,-15.19,26.44,136.13,29.25,31.50,229
2024-07-24 12:47:44,-0.38,1.88,0.94,-7.88,30.19,119.25,31.50,29.06,230
2024-07-24 12:47:52,2.25,2.06,0.94,-27.56,27.75,124.13,29.25,29.63,231
2024-07-24 12:48:00,2.81,0.75,0.94,21.56,31.88,133.88,27.00,30.94,232
2024-07-24 12:48:08,0.75,0.38,2.63,4.31,29.44,150.94,27.75,30.94,233
2024-07-24 12:48:19,1.88,1.69,0.75,-21.75,30.00,138.38,30.56,30.19,234
2024-07-24 12:48:34,0.38,1.31,1.69,19.31,30.94,153.94,29.63,30.00,235
2024-07-24 12:48:42,-0.19,4.88,1.13,8.44,30.38,148.13,30.00,30.19,236
2024-07-24 12:48:50,1.69,-0.19,0.19,54.00,31.50,156.94,28.50,31.88,237
2024-07-24 12:48:58,-0.38,2.63,-1.31,39.19,26.06,144.00,29.06,30.56,238
2024-07-24 12:49:06,-0.56,-0.94,3.19,45.94,25.13,141.38,29.63,30.19,239
2024-07-24 12:49:14,0.75,0.38,1.13,69.94,29.63,147.19,31.31,30.19,240
2024-07-24 12:49:22,1.31,2.44,2.44,65.44,27.38,139.31,27.00,30.75,241
2024-07-24 12:49:30,1.13,2.06,-0.38,62.25,29.81,140.25,29.06,29.44,242
2024-07-24 12:49:38,1.31,0.19,1.13,46.69,28.13,124.13,29.63,30.94,243
2024-07-24 12:49:46,0.00,2.06,2.06,53.63,31.13,126.00,29.25,28.88,244
2024-07-24 12:49:58,0.38,0.56,0.75,48.75,27.19,123.94,28.31,31.88,245
2024-07-24 12:50:08,0.75,3.38,0.94,18.38,30.56,117.94,27.56,28.88,246
2024-07-24 12:50:16,-0.19,1.31,0.00,6.38,26.25,133.31,28.69,31.31,247
2024-07-24 12:50:24,0.00,0.94,2.63,7.88,28.31,123.00,28.50,29.44,248
2024-07-24 12:50:32,-2.25,-0.38,1.31,-6.56,28.69,138.19,28.69,30.38,249
2024-07-24 12:50:40,-0.56,-0.75,-1.88,-9.19,29.63,135.94,30.19,30.19,250
2024-07-24 12:50:48,-1.50,1.13,0.38,-31.13,27.94,131.63,28.88,28.88,251
2024-07-24 12:50:56,-2.06,4.31,-0.56,-19.50,29.06,146.25,31.69,29.44,252
2024-07-24 12:51:04,3.56,0.00,0.19,-4.69,29.44,142.69,27.94,29.25,253
2024-07-24 12:51:12,1.13,-2.25,-1.13,20.63,28.13,149.44,28.69,28.50,254
2024-07-24 12:51:23,-0.38,2.81,2.06,8.25,27.00,161.25,29.06,28.69,255
2024-07-24 12:51:32,0.56,3.00,1.13,21.94,28.88,153.38,29.44,28.88,256
2024-07-24 12:51:40,0.75,1.13,-0.75,27.19,31.69,151.50,30.94,30.00,257
2024-07-24 12:51:48,0.38,0.56,-0.56,64.13,29.25,141.00,26.63,29.44,258
2024-07-24 12:51:56,-0.19,1.13,-2.44,13.31,29.06,139.31,29.44,29.06,259
2024-07-24 12:52:04,-0.75,-0.19,-0.38,34.13,30.19,141.75,25.69,29.63,260
2024-07-24 12:52:12,-0.75,3.75,2.44,54.00,29.81,136.88,30.38,28.50,261
2024-07-24 12:52:20,0.38,2.81,-0.19,59.81,29.25,136.88,25.31,28.13,262
2024-07-24 12:52:28,1.88,1.13,0.75,31.88,28.69,128.63,30.38,27.56,263
